epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,338641,0.84813,0.58242,1.01852,0.9615,0.8905,0.96034,0.82487,0.59258,0.45957,0.90126,0.007459,0.007459,0.007459
79,343109,0.85453,0.59566,1.0155,0.9441,0.8908,0.95301,0.81156,0.61583,0.48603,0.90423,0.007426,0.007426,0.007426
80,347466,0.84351,0.58191,1.00941,0.93689,0.88769,0.95386,0.81977,0.61334,0.47982,0.90601,0.007393,0.007393,0.007393
81,351750,0.83852,0.55924,1.01779,0.94481,0.91984,0.95346,0.80141,0.64192,0.47547,0.91859,0.00736,0.00736,0.00736
82,355917,0.83079,0.56858,1.01497,0.94922,0.87779,0.95221,0.82054,0.58228,0.46753,0.89389,0.007327,0.007327,0.007327
83,360167,0.84617,0.57614,1.02639,0.92398,0.86652,0.93392,0.79656,0.61311,0.53202,0.90764,0.007294,0.007294,0.007294
84,364456,0.83502,0.57439,1.0084,0.97429,0.85658,0.95039,0.81534,0.61196,0.48538,0.90164,0.007261,0.007261,0.007261
85,368758,0.84193,0.56551,1.02193,0.90939,0.90666,0.95162,0.81691,0.599,0.45578,0.90232,0.007228,0.007228,0.007228
86,373037,0.81982,0.5555,1.00768,0.96121,0.89002,0.95326,0.81574,0.58829,0.49478,0.8989,0.007195,0.007195,0.007195
87,377379,0.81691,0.53984,0.99723,0.95517,0.90659,0.95746,0.82893,0.58784,0.44306,0.90055,0.007162,0.007162,0.007162
88,381648,0.82992,0.55754,1.00287,0.93783,0.89219,0.9547,0.81528,0.60034,0.47349,0.90336,0.007129,0.007129,0.007129
89,385965,0.82838,0.55476,1.01567,0.95379,0.88957,0.95978,0.81822,0.60867,0.4623,0.9072,0.007096,0.007096,0.007096
90,390083,0.83356,0.55591,1.01302,0.96754,0.88552,0.95387,0.81856,0.60167,0.47041,0.89783,0.007063,0.007063,0.007063
91,394190,0.82772,0.5483,1.00916,0.93502,0.91311,0.96359,0.82343,0.61088,0.43579,0.90396,0.00703,0.00703,0.00703
92,398401,0.81974,0.54881,1.00031,0.96095,0.88417,0.95634,0.8143,0.60932,0.4676,0.90886,0.006997,0.006997,0.006997
93,402599,0.80242,0.54433,0.99185,0.96214,0.90372,0.96402,0.82386,0.59643,0.43678,0.8942,0.006964,0.006964,0.006964
